
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v4.0.2)

2026-03-07T01:55:22.535Z  INFO 1 --- [orquestrador-sv] [           main] b.c.m.o.OrquestradorApplication          : Starting OrquestradorApplication v0.0.1-SNAPSHOT using Java 17.0.18 with PID 1 (/app/app.jar started by root in /app)
2026-03-07T01:55:22.559Z DEBUG 1 --- [orquestrador-sv] [           main] b.c.m.o.OrquestradorApplication          : Running with Spring Boot v4.0.2, Spring v7.0.3
2026-03-07T01:55:22.562Z  INFO 1 --- [orquestrador-sv] [           main] b.c.m.o.OrquestradorApplication          : No active profile set, falling back to 1 default profile: "default"
2026-03-07T01:55:22.943Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-03-07T01:55:23.009Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-03-07T01:55:23.192Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/lib/rabbitmq-1.0.0.jar!/br/com/midiaconverte/rabbitmq/configuracao/DownloadConfig.class]
2026-03-07T01:55:23.248Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/lib/rabbitmq-1.0.0.jar!/br/com/midiaconverte/rabbitmq/listener/DownloadListener.class]
2026-03-07T01:55:23.250Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/app/app.jar/!BOOT-INF/lib/rabbitmq-1.0.0.jar!/br/com/midiaconverte/rabbitmq/producer/DownloadProducer.class]
2026-03-07T01:55:26.290Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'refreshScope'
2026-03-07T01:55:26.322Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$RefreshScopeBeanDefinitionEnhancer'
2026-03-07T01:55:26.623Z  INFO 1 --- [orquestrador-sv] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=e607253c-c031-3e74-af79-85699a6ae6e2
2026-03-07T01:55:26.625Z DEBUG 1 --- [orquestrador-sv] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
